id_func,cod_escola
10001,11000201
10011,11000201
10012,11000201
10013,11000201
10002,12009172
10021,12009172
10022,12009172
10023,12009172
10003,27035018
10031,27035018
10032,27035018
10004,16000641
10041,16000641
10042,16000641
10043,16000641
10005,13027107
10051,13027107
10052,13027107
10053,13027107
10055,13027107
10006,29190290
10061,29190290
10062,29190290
10063,29190290
10007,23065591
10071,23065591
10072,23065591
10008,53002458
10081,53002458
10082,53002458
10083,53002458
10009,32040121
10091,32040121
10092,32040121
10093,32040121
10010,52034682
10101,52034682
10102,52034682
10103,52034682
10011,21015473
10111,21015473
10112,21015473
10113,21015473
10012,51056500
10121,51056500
10122,51056500
10123,51056500
10013,50031198
10131,50031198
10132,50031198
10133,50031198
10135,50031198
10014,31000019
10141,31000019
10142,31000019
10015,15588947
10151,15588947
10152,15588947
10153,15588947
10016,25124528
10161,25124528
10162,25124528
10163,25124528
10017,41132173
10171,41132173
10018,26139618
10181,26139618
10182,26139618
10183,26139618
10019,22022236
10191,22022236
10192,22022236
10020,33230021
10201,33230021
10021,24058769
10211,24058769
10212,24058769
10022,43209262
10221,43209262
10023,14000814
10231,14000814
10232,14000814
10233,14000814
10024,42141184
10241,42141184
10025,35107273
10251,35107273
10252,35107273
10026,28034570
10261,28034570
10027,17046807
10271,17046807
10272,17046807
100001,11000201
100002,11000201
100003,12009172
100004,12009172
100005,27035018
100006,27035018
100007,16000641
100008,16000641
100009,13027107
1000010,13027107
1000011,29190290
1000012,29190290
1000013,23065591
1000014,23065591
1000015,53002458
1000016,53002458
1000017,32040121
1000018,32040121
1000019,51056500
1000020,51056500
1000021,50031198
1000022,50031198
1000023,31000019
1000024,15588947
1000025,15588947
1000026,25124528
1000027,25124528
1000028,41132173
1000029,41132173
1000030,26139618
1000031,26139618
1000032,22022236
1000033,22022236
1000034,33230021
1000035,33230021
1000036,24058769
1000037,24058769
1000038,43209262
1000039,43209262
1000040,14000814
1000041,14000814
1000042,42141184
1000043,42141184
1000044,35107273
1000045,35107273
1000046,28034570
1000047,28034570
1000048,17046807
1000049,17046807
