id_aluno,nota,rendimento_escolar,num_sala,ano_letivo,serie
1,8.5,Aprovado,101,2023,1A
2,7.2,Aprovado,102,2023,2B
3,9,Aprovado,103,2023,3C
4,6.8,Reprovado,201,2023,1A
5,8.2,Aprovado,202,2023,2B
6,7.5,Aprovado,203,2023,3C
7,9.5,Aprovado,301,2023,MA
8,5.5,Reprovado,302,2023,7B
9,8.7,Aprovado,303,2023,3C
10,7,Aprovado,401,2023,1A
11,8.9,Aprovado,402,2023,2B
12,6.4,Reprovado,403,2023,3C
13,9.2,Aprovado,501,2023,1A
14,8,Aprovado,502,2023,2B
15,7.8,Aprovado,503,2023,3C
16,7.7,Aprovado,601,2023,1A
17,8.6,Aprovado,602,2023,2B
18,6.3,Reprovado,603,2023,3C
19,9.7,Aprovado,701,2023,1A
20,7.4,Aprovado,702,2023,2B
21,8.1,Aprovado,703,2023,3C
22,6.9,Reprovado,801,2023,1A
23,8.3,Aprovado,802,2023,2B
24,7.1,Aprovado,803,2023,3C
25,8.8,Aprovado,901,2023,1A
26,6.2,Reprovado,902,2023,2B
27,9.4,Aprovado,903,2023,3C
28,7.3,Aprovado,1001,2023,1A
29,8.4,Aprovado,1002,2023,2B
30,6.5,Reprovado,1003,2023,3C
31,9.1,Aprovado,1101,2023,1A
32,7.6,Aprovado,1102,2023,2B
33,8.6,Aprovado,1103,2023,3C
34,6.7,Reprovado,1201,2023,MA
35,8.5,Aprovado,1202,2023,6B
36,7,Aprovado,1203,2023,9C
37,9,Aprovado,1301,2023,MA
38,7.8,Aprovado,1302,2023,8B
39,8.3,Aprovado,1303,2023,1C
40,7.2,Aprovado,1401,2023,1A
41,8.9,Aprovado,1402,2023,2B
42,6.6,Reprovado,1403,2023,3C
43,9.5,Aprovado,1501,2023,1A
44,7.1,Aprovado,1502,2023,2B
45,8,Aprovado,1503,2023,3C
46,6.8,Reprovado,1601,2023,1A
47,8.7,Aprovado,1602,2023,2B
48,7.4,Aprovado,1603,2023,3C
49,9.2,Aprovado,1701,2023,MA
50,6.3,Reprovado,1702,2023,9B
51,8.1,Aprovado,1703,2023,3C
52,7.7,Aprovado,1801,2023,9A
53,8.4,Aprovado,1802,2023,2B
54,6.9,Reprovado,1803,2023,3C
55,8.6,Aprovado,1901,2023,1A
56,6.5,Reprovado,1902,2023,1B
57,9.3,Aprovado,1903,2023,2A
58,7.8,Aprovado,2001,2023,MA
59,8.2,Aprovado,2002,2023,MB
60,6.7,Reprovado,2003,2023,MC
61,9,Aprovado,2101,2023,4A
62,7.4,Aprovado,2102,2023,5B
63,8.5,Aprovado,2103,2023,7C
64,6.9,Reprovado,2201,2023,MA
65,8.7,Aprovado,2202,2023,MB
66,7.2,Aprovado,2203,2023,MC
67,9.1,Aprovado,2301,2023,5A
68,7.6,Aprovado,2302,2023,6B
69,8.4,Aprovado,2303,2023,7C
70,6.7,Reprovado,2401,2023,MA
71,8.8,Aprovado,2402,2023,2B
72,7.1,Aprovado,2403,2023,3C
73,9.4,Aprovado,2501,2023,1A
74,6.6,Reprovado,2502,2023,2B
75,8.3,Aprovado,2503,2023,3C
76,7.9,Aprovado,2601,2023,1A
77,8.1,Aprovado,2602,2023,2B
78,6.5,Reprovado,2603,2023,3C
79,9.3,Aprovado,2701,2023,1A
80,6.8,Reprovado,2702,2023,2B
81,8.2,Aprovado,2703,2023,3C
